train_acc,train_f1,train_eod_max,train_eod_mean,train_eod_strict,train_dp_max,train_dp_mean,train_loss,valid_acc,valid_f1,valid_eod_max,valid_eod_mean,valid_eod_strict,valid_dp_max,valid_dp_mean
0.558642719382835,0.5024780429186138,0.09080111812456493,0.06103141211778509,0.09080111812456493,0.0888207271712835,0.05921381811418899,1.2370457786603282,0.26828410689170185,0.19289063389036284,0.06981677917068466,0.026501329129101536,0.06981677917068466,0.03589710283816461,0.023931401892109728
0.6435932979749277,0.607371216120256,0.14290213323064466,0.0796894521369766,0.14290213323064466,0.14087626936350897,0.09391751290900598,0.6480008466034524,0.6434599156118144,0.5619844199480318,0.17768772779752337,0.07322687261657304,0.19527011221032456,0.08455546064213798,0.05637030709475868
0.6887656702025072,0.66208677579645,0.14566502462404318,0.07873025670993505,0.14566502462404318,0.15527975078563666,0.10351983385709108,0.5405273132292031,0.5334036568213784,0.5181855505130555,0.1343256603216763,0.08670195261757123,0.14606235936997752,0.1694242512430325,0.11294950082868833
0.7174993972999035,0.6967902839709611,0.1361077811607171,0.07315827123005307,0.1361077811607171,0.16111296567347716,0.10740864378231811,0.4811556367140727,0.6364275668073136,0.5571659150277808,0.1605279242976479,0.11156093494303186,0.17228472898225916,0.14810343656530872,0.09873562437687249
0.7413452266152363,0.7246392133052303,0.13033856789662213,0.06930669335243884,0.13033856789662213,0.16371610743604975,0.10914407162403317,0.4051228577743501,0.7911392405063291,0.7715279911474492,0.20830220572144376,0.09486373953145082,0.20990197632037666,0.15745127892662672,0.10496751928441785
0.7620941819350691,0.7483106986165966,0.12389262384216337,0.06516422103084478,0.12389262384216337,0.16439999550479703,0.10959999700319804,0.33375011768152535,0.5334036568213784,0.5477578727508354,0.10901639344262298,0.05101341111015073,0.1357012750455373,0.123431676964745,0.0822877846431633
0.7809873949579832,0.769313670075754,0.11661264523777393,0.06059105597475978,0.11661264523777393,0.16530628964657346,0.11020419309771563,0.2780076085141678,0.790084388185654,0.7753361996905864,0.1180509964608849,0.060879353598271756,0.1180509964608849,0.13591728089088828,0.09061152059392552
0.797289356316297,0.7873531151205667,0.10820025459773908,0.05633408774700336,0.10820025459773908,0.16441584080413357,0.10961056053608903,0.22994925183753268,0.6082981715893109,0.6187289615848586,0.09682310082502948,0.0472467816993614,0.11714882674381227,0.13212707909548782,0.08808471939699186
0.8122723132969034,0.8036936000535239,0.0981549766169102,0.05191959196734608,0.0981549766169102,0.16366304877229879,0.10910869918153254,0.17963577371554065,0.5232067510548524,0.5298151498297413,0.0756884174434801,0.036315547000421895,0.09049073181185041,0.100592302692605,0.06706153512840332
0.825337512054002,0.8178287800762932,0.09145928078612242,0.04826415756751109,0.09145928078612242,0.16307871443949448,0.108719142959663,0.14958563684095183,0.8087201125175809,0.7937367694415601,0.25111116141836265,0.12402735448012454,0.25111116141836265,0.17768783312998288,0.11845855541998858
0.8373915139826422,0.8307299778494709,0.08478103274007553,0.04501473208481458,0.08478103274007553,0.16248325620264828,0.10832217080176552,0.11796195545703489,0.7584388185654009,0.7451792975665654,0.12832122186252537,0.06045000967126705,0.12832122186252537,0.1427198131125613,0.09514654207504088
