train_acc,train_f1,train_eod,train_dp,train_loss,valid_acc,valid_f1,valid_eod,valid_dp
0.3625274563377264,0.35489052251430636,0.714250001785625,0.1324335464498193,1.1461196875733144,0.3210267229254571,0.3084635624719231,0.8703904246223996,0.26322839919624913
0.3739468608841293,0.3665468371855088,0.7129532621113305,0.12972020484359223,1.0611039501261919,0.3952180028129395,0.3870097446811983,0.9085586703051353,0.17986676535899335
0.3868400433944069,0.3797661765693302,0.7079587092073968,0.1279897132054681,0.940556127172082,0.3990857946554149,0.38622170929463345,0.90071245369051,0.2916358253145818
0.39997474399595906,0.39326464997635824,0.7026013836603964,0.1253715976922107,0.872823366721088,0.3829113924050633,0.3757765653051167,0.7987460815047022,0.13047912216050922
0.41361389936004206,0.40736561887041284,0.6941185953310165,0.12263129813230508,0.7875952221158615,0.37236286919831224,0.37099665686407735,0.8649757765745226,0.18884922136017923
0.4274270470839797,0.4215610116567582,0.6866348333759809,0.1202027945656115,0.7020222488916483,0.3618143459915612,0.3381348945119938,0.9232448523939469,0.2504304568618517
0.4413120781099325,0.43585550427484954,0.6757722213385333,0.11804505752918452,0.6385556273198288,0.3709563994374121,0.3629194122133785,0.826275292106013,0.14834587066314403
0.45530617164898746,0.45024253342211684,0.6641229387957088,0.11755102040816327,0.5642732895673643,0.38959212376933894,0.37159572113421235,0.9283556568823026,0.18874907475943747
0.46941297010607524,0.4647272365587045,0.6514504506586654,0.11719189100141482,0.480754205782825,0.35267229254571025,0.35838430486380896,0.7857022708158116,0.22871946706143595
0.48286322725811637,0.4785356838327403,0.6374185287954928,0.11662607429803198,0.46078165408615435,0.3649789029535865,0.36120663190007507,0.8817493692178301,0.17394522575869728
0.4966550144648023,0.49264832048279183,0.6233895822339823,0.11619515531080157,0.36597154556038064,0.370253164556962,0.35033766046361803,0.9289506325973703,0.3047441229562285
0.5104849034017225,0.5067726298050086,0.608858889513904,0.11571576267799584,0.30034396793826224,0.3959212376933896,0.3935179667540744,0.8339080459770114,0.1841929002009377
0.523557537769206,0.5201186689918695,0.594242374255983,0.11539010665994792,0.2854741981887082,0.37763713080168776,0.3675335278022656,0.9188393608074011,0.34863064396743154
0.5360239680218994,0.5328279741516263,0.5795096686014702,0.11513828948544769,0.2688563943139153,0.3593530239099859,0.35043031087268045,0.9021373610715304,0.27193569993302075
0.5483195967936355,0.5453392327940638,0.5653172185303664,0.11483528596623833,0.22072275898265747,0.38045007032348804,0.3767869156770215,0.8493692178301093,0.18465347540929966
0.5603686332953449,0.5575940907061236,0.550326527500844,0.1145888209380273,0.1805766288230596,0.3980309423347398,0.3948122129610053,0.8403700588730025,0.29163582531458176
0.5720474785864201,0.5694629428852928,0.5357872333642104,0.11441984201087842,0.14863886893255387,0.37341772151898733,0.35596005554168564,0.9007690399404614,0.25018504811250925
0.5831433393029343,0.5807299765477614,0.522357160110116,0.114163337292589,0.1396442078406004,0.379746835443038,0.3686907561239865,0.7871495906722897,0.21320566790098178
0.5933783349405336,0.5911152833146265,0.509706831307722,0.11396657428403462,0.15103003222462985,0.4040084388185654,0.40230139818311245,0.8456540324878883,0.28514513572591166
0.6032995386900883,0.6011735266307356,0.49777286521069775,0.11382811382811381,0.13631395596145088,0.35056258790436007,0.33649830863252733,0.7795346229324361,0.21366376423308772
0.6128619372684363,0.6108640719638065,0.48601864676537315,0.11362069194149396,0.12190610605759929,0.3818565400843882,0.38948700509412826,0.8315058298189035,0.12416492856126518
0.6219602279751749,0.6200775096696833,0.4743996089412395,0.11335607367353398,0.11044232512077921,0.3558368495077356,0.3422839198718971,0.8621259618124822,0.2016075016744809
0.6306714079074253,0.6288969703266193,0.46357412382248464,0.11312988158226253,0.10259019352114879,0.37869198312236285,0.3808174269974643,0.8960470984020185,0.15144744063463197
0.6391428722628596,0.6374644158991594,0.45297984916364953,0.11295466696163561,0.08655428669434274,0.379746835443038,0.35901153127396135,0.7867999798010403,0.20227729403884798
0.6472109335537494,0.6456197155297188,0.4428610984168503,0.1127458037888877,0.07717137947577979,0.3762306610407876,0.37211571861648673,0.9082609774249566,0.21391561806069576
0.6549485882801462,0.6534393105149447,0.4332978624730766,0.11261989722676323,0.07310719875009908,0.3790436005625879,0.3645146728774308,0.8249073810202336,0.16543871399866042
0.662323573244499,0.6608898788975688,0.42425213143077795,0.11243958863006481,0.06983604122639392,0.38853727144866385,0.3909964153719207,0.824311585214587,0.18151373074346955
0.6694163184399443,0.6680505139852813,0.4154735230449693,0.11227849164357101,0.07001298655582486,0.370253164556962,0.3649242625731884,0.8209139332772638,0.18352310783657066
0.676257022766341,0.6749586168057939,0.4065741073013449,0.11216273949193203,0.05901008388862775,0.37869198312236285,0.38812338240246297,0.8334735071488646,0.1857883049592894
0.682822021379183,0.6815816738806714,0.39841538917219155,0.11201438810354716,0.054674383012170154,0.4022503516174402,0.3890688875544037,0.9172983756055857,0.26943005181347146
0.6890996665059467,0.6879173541573149,0.39044467223979784,0.11189321407575376,0.05529155799887334,0.379746835443038,0.38360914202336405,0.8096254031257752,0.22322181530091326
0.6950792612126818,0.6939496559621403,0.3829484958473236,0.11177184403617833,0.061331604620874676,0.38255977496483823,0.38067427445185115,0.8615643397813288,0.17616580310880828
0.7007606075216972,0.6996800971477899,0.3758980340868253,0.11165280927185689,0.06872510365430506,0.39732770745428975,0.3798081583217155,0.9558848674836136,0.30347890451517395
0.7060501635562615,0.7050149586057743,0.36941030690803267,0.11152362179439677,0.09008086165242622,0.3484528832630098,0.3228969920638777,0.9310344827586207,0.30789328735183136
0.7109589422149692,0.7099649550330044,0.3631721076976552,0.11142362928077215,0.11408891131528433,0.3488045007032349,0.34298474188478256,0.8010933557611437,0.23019985196151
0.7153856825749167,0.7144287901095052,0.3573307660782188,0.11126561036713778,0.15840338219384678,0.3737693389592124,0.36907734201516856,0.9025551972215331,0.2509936575472114
0.7196227990285368,0.7186954603576605,0.35215645176880694,0.11114610453234791,0.15962061340576658,0.36251758087201125,0.3654086507315119,0.7256198347107439,0.18560734699260253
0.7235798194091347,0.722685653115695,0.34701588979703535,0.11104468723516342,0.18510263719979456,0.38959212376933894,0.3819289127744515,0.8552294100883443,0.1781647689216343
0.7276731901777105,0.7268102248622518,0.34175404666382203,0.1109131483281143,0.13535051125397218,0.379746835443038,0.3735823670249699,0.8935747953361449,0.21271832082905523
