train_acc,train_f1,train_eod,train_dp,train_loss,valid_acc,valid_f1,valid_precision,valid_auc,valid_eod,valid_dp,valid_TPR,valid_TNR,valid_FPR,valid_FNR,valid_MCC
0.788188241567791,0.7278147056808059,0.19042799708447566,0.5222738739503188,0.04460830089008271,0.8159757330637007,0.72,0.970954356846473,0.780029086923531,0.30553548200607017,0.6095389867577046,0.5721271393643031,0.9879310344827587,0.01206896551724138,0.4278728606356968,0.6424649959430037
0.8023149294379797,0.7471539180138386,0.1789144107387418,0.5371634544815653,0.04290200787204184,0.8119312436804853,0.8042105263157895,0.7060998151571165,0.8299236995194335,0.27413793103448275,0.5454145385200101,0.9339853300733496,0.7258620689655172,0.27413793103448275,0.06601466992665037,0.6528020662588988
0.8146042749855574,0.7638766260521513,0.16800076456855695,0.5495795173345314,0.03997711970162557,0.8958543983822043,0.8714107365792759,0.8903061224489796,0.8895814012309249,0.18160138748374044,0.6850387400482751,0.8533007334963325,0.9258620689655173,0.07413793103448275,0.1466992665036675,0.7844651643466332
0.8255849220103986,0.7786666666666666,0.1582514252151741,0.5606452373962694,0.029131153135510415,0.8523761375126391,0.8286384976525821,0.7968397291196389,0.8539541354017368,0.18328756564050674,0.634636670356195,0.863080684596577,0.8448275862068966,0.15517241379310345,0.13691931540342298,0.7010588122660807
0.8348353552859619,0.791054593290945,0.15045787329863292,0.5702470837147915,0.04876533022579742,0.8705763397371082,0.8297872340425532,0.9096209912536443,0.8546939549785009,0.23989497518909286,0.6735967567711737,0.7628361858190709,0.946551724137931,0.05344827586206897,0.2371638141809291,0.734000091944767
0.8428750240708647,0.8017590106779723,0.1439822237810513,0.5787830878458533,0.04866866741581228,0.7927199191102123,0.7927199191102123,0.6758620689655173,0.8171486383947391,0.32413793103448274,0.5033805859682345,0.9584352078239609,0.6758620689655173,0.32413793103448274,0.04156479217603912,0.6342972767894781
0.849822128979294,0.8110192837465565,0.1381845589187587,0.5860904195361035,0.06381929096873959,0.8968655207280081,0.8712121212121212,0.9007832898172323,0.8890017705083888,0.21932360167654286,0.7094496379372424,0.843520782396088,0.9344827586206896,0.06551724137931035,0.15647921760391198,0.7865412886149908
0.8565164644714038,0.8198886133228909,0.1322843944505684,0.5929216280211071,0.04750338432280608,0.897876643073812,0.8710089399744572,0.9117647058823529,0.8884221397858527,0.20778532543238426,0.7008881539466841,0.8337408312958435,0.9431034482758621,0.056896551724137934,0.16625916870415647,0.7889259907156233
0.862837335974251,0.8281921931855772,0.1265587628199113,0.5992360553789424,0.03228479011607335,0.8887765419615774,0.8589743589743589,0.9029649595687331,0.8785009695641177,0.2545165486341957,0.7178177550775469,0.8190709046454768,0.9379310344827586,0.06206896551724138,0.18092909535452323,0.7700012858560998
0.8688593036080038,0.8360273041576786,0.12132283350591788,0.6053390050508869,0.014995209452416908,0.8938321536905965,0.8672566371681416,0.8979057591623036,0.8856947137678105,0.18892421833598305,0.6843186152266393,0.8386308068459658,0.9327586206896552,0.06724137931034482,0.16136919315403422,0.7802311875674569
0.8745083264260417,0.8433508286773144,0.11604338918492119,0.610826929043518,0.00652954290650036,0.9069767441860465,0.8880778588807786,0.8837772397094431,0.9048309586038277,0.15878980584862945,0.6918265832744342,0.8924205378973105,0.9172413793103448,0.08275862068965517,0.10757946210268948,0.8085243348573355
0.8796938186019642,0.850066597069729,0.11120824796888273,0.6158914727963827,0.0033085392221511444,0.9059656218402427,0.8824273072060683,0.9136125654450262,0.8982020908860973,0.22100977983330927,0.7238854734820702,0.8533007334963325,0.9431034482758621,0.056896551724137934,0.1466992665036675,0.8055326639787456
0.8844783362218371,0.856230803740898,0.10682388571555823,0.620595110480486,0.0030922012111661147,0.8988877654196158,0.8786407766990292,0.8722891566265061,0.8968531321136497,0.18215541744953512,0.6959272940643045,0.8850855745721271,0.9086206896551724,0.09137931034482759,0.11491442542787286,0.792055226663628
0.8888948140247966,0.8619124152900436,0.1027466975520388,0.624927848582445,0.002365645122211152,0.9089989888776542,0.8891625615763546,0.8957816377171216,0.9051133968468088,0.1866599219540397,0.7108898875805141,0.882640586797066,0.9275862068965517,0.07241379310344828,0.11735941320293398,0.8120465407551639
0.8930098209127671,0.8671893675001195,0.09894126430937067,0.6289557601957245,0.0010364738123917524,0.910010111223458,0.8910648714810282,0.8921568627450981,0.907056740578366,0.1731464084405261,0.7046554736154267,0.8899755501222494,0.9241379310344827,0.07586206896551724,0.1100244498777506,0.8144087844861797
0.8968308987373113,0.8720778523077868,0.09540764772689314,0.632695963836627,0.0004282340683580491,0.9079878665318504,0.8896969696969697,0.8822115384615384,0.9064138774133714,0.1596328949270126,0.694680411271287,0.8973105134474327,0.9155172413793103,0.08448275862068966,0.10268948655256724,0.8108680696352197
0.900388453953266,0.876619242897538,0.09211772883975888,0.6361782223988464,0.0002000878712802357,0.9059656218402427,0.8864468864468864,0.8853658536585366,0.9032480397942838,0.17765091294503066,0.7021617080293918,0.8875305623471883,0.9189655172413793,0.08103448275862069,0.11246943765281174,0.8062072534203398
0.9037088388214904,0.8808492386875402,0.08904713787843355,0.6394283303902512,0.00013996007264328658,0.9079878665318504,0.8902291917973462,0.8785714285714286,0.9071347272573982,0.15062388591800357,0.6896928800992173,0.902200488997555,0.9120689655172414,0.08793103448275862,0.097799511002445,0.8112655157100038
0.9068150053111198,0.8847988056895623,0.0861746495597745,0.6424687539951138,0.00010088799217729175,0.910010111223458,0.8923821039903265,0.8827751196172249,0.9088588651884326,0.15062388591800357,0.6921866456852521,0.902200488997555,0.9155172413793103,0.08448275862068966,0.097799511002445,0.8152163293982375
0.9097270363951473,0.8884949358451185,0.08348169176103148,0.6453191511246725,0.00010855928675934956,0.9089989888776542,0.8907766990291263,0.8843373493975903,0.9072759463788889,0.1596328949270126,0.6959272940643045,0.8973105134474327,0.9172413793103448,0.08275862068965517,0.10268948655256724,0.8128574929109879
0.9124625807468095,0.8919612647299031,0.08095194352584867,0.6479967969130458,8.016647203047428e-05,0.910010111223458,0.8923821039903265,0.8827751196172249,0.9088588651884326,0.16047598400539576,0.6987811220611573,0.902200488997555,0.9155172413793103,0.08448275862068966,0.097799511002445,0.8152163293982375
