train_acc,train_f1,train_eod_max,train_eod_mean,train_eod_strict,train_dp_max,train_dp_mean,train_loss,valid_acc,valid_f1,valid_eod_max,valid_eod_mean,valid_eod_strict,valid_dp_max,valid_dp_mean
0.624267578125,0.5909170980013432,0.1544741923340039,0.08729684197501945,0.1544741923340039,0.1504220470900615,0.10028136472670768,0.9977487584319156,0.6140625,0.5993609587266608,0.2643991989516561,0.16149257134374564,0.27970503198684765,0.2502698910465901,0.16684659403106003
0.7025146484375,0.6815045905835099,0.1426527028103462,0.0775323562654736,0.1426527028103462,0.16524187459228537,0.11016124972819023,0.5220885235410302,0.78515625,0.7734799162054173,0.16775315080399822,0.10376096482599236,0.16775315080399822,0.19616996316025445,0.13077997544016962
0.7441813151041666,0.7298109874183499,0.12404715078668738,0.06935705895962056,0.12404715078668738,0.1691737798063489,0.11278251987089927,0.4213725267518797,0.74921875,0.7023070435492192,0.23548062107384143,0.081145962827252,0.23548062107384143,0.11157188827091738,0.07438125884727828
0.7745208740234375,0.7637108525014532,0.11555477145272008,0.0636280895878472,0.11555477145272008,0.1696803994317411,0.1131202662878274,0.33724609520304283,0.351171875,0.33732553163842754,0.021329365079365115,0.013416787248461017,0.021329365079365115,0.03190677947959497,0.021271186319729993
0.7981201171875,0.7896611034180313,0.10659593524184574,0.0576648796093188,0.10659593524184574,0.1690542694788694,0.11270284631924628,0.2676669735113013,0.510546875,0.533563687450469,0.0640391081185977,0.03447975591726941,0.07812029845669455,0.09333551081123892,0.0622236738741593
0.8179931640625,0.8113075228533444,0.09750206789514648,0.05211138364949249,0.09750206789514648,0.16747689139076977,0.11165126092717988,0.213612490702733,0.753125,0.7537122044227192,0.12124258110094055,0.0776256874796039,0.13929868781970492,0.1957711666449531,0.13051411109663538
0.8337576729910714,0.8281659131514175,0.08728341322892563,0.04719036135759613,0.08728341322892563,0.16544592214326276,0.11029728142884182,0.1856681571747091,0.72109375,0.6657523821919753,0.11003121172612698,0.0650438712251749,0.11003121172612698,0.09382483168890937,0.06254988779260623
0.8475494384765625,0.8428144548191195,0.08101292743324617,0.043853308103125745,0.08101292743324617,0.16437022614821067,0.10958015076547378,0.14902975750061448,0.791796875,0.7698997071496851,0.17408439018608513,0.08152498988535573,0.17408439018608513,0.1358403688500776,0.09056024590005174
0.8603176540798612,0.8562724080958558,0.07370902908271437,0.04017061299399827,0.07370902908271437,0.1636577281500325,0.10910515210002165,0.10257280643098954,0.61484375,0.6377837174689945,0.1319964299659731,0.08745037621803688,0.1598448408943235,0.17787180893977012,0.11858120595984674
0.87119140625,0.8676840459702574,0.06791876533171681,0.03686178556034747,0.06791876533171681,0.16274376266236432,0.10849584177490952,0.09021057641149832,0.592578125,0.6220041970858179,0.1818430300663803,0.09122653249691225,0.22832983738383777,0.20283390186302808,0.1352226012420187
0.8805375532670454,0.8775024203540364,0.06235376313799357,0.034300775964547836,0.06235376313799357,0.16202523993708243,0.10801682662472162,0.08080121038504944,0.8046875,0.7910217847051317,0.20970131563351901,0.09627267947801288,0.20970131563351901,0.1824353377751436,0.12162355851676242
0.8884938557942709,0.8857861439175844,0.05813244493018721,0.032094948824167524,0.05813244493018721,0.16145314057865284,0.10763542705243523,0.07205809484682295,0.773828125,0.7692520684602133,0.1031646701233685,0.07879604797295874,0.10965797839634037,0.17375233880088248,0.11583489253392167
0.8957284780649039,0.8932895899013,0.05353362185039001,0.029626066102926063,0.05353362185039001,0.16064996555787944,0.10709997703858631,0.05672582664967963,0.7703125,0.7692358175015747,0.13602945278072182,0.09191855459432463,0.1718611679233188,0.21788113050248972,0.14525408700165984
0.9021955217633929,0.899974269269455,0.05009648120384391,0.027884781723344704,0.05009648120384391,0.1602184975059032,0.10681233167060215,0.04792961176474046,0.780078125,0.7602220350047443,0.21009640077436692,0.07837804677077337,0.21009640077436692,0.1302015573860234,0.08680103825734893
0.9078328450520833,0.9058268945448429,0.04708201967811165,0.02651420870574021,0.04708201967811165,0.1599561750841984,0.10663745005613225,0.04377692472279474,0.801953125,0.7930720482367132,0.1442357077950298,0.08130422186243824,0.14550985737426414,0.16056391784547128,0.10704261189698085
0.9129905700683594,0.911151043877655,0.044365673378989445,0.025081049568974167,0.044365673378989445,0.15960092929935454,0.10640061953290302,0.03410000907995432,0.759375,0.7266041401484018,0.13675872150448426,0.06303714276172424,0.13675872150448426,0.0927128499944034,0.06180856666293558
0.9175738166360294,0.9158665291468461,0.0419439364008376,0.023805798910141746,0.0419439364008376,0.15940022407641025,0.10626681605094017,0.03542242681278902,0.806640625,0.7962983730257435,0.12198253723677455,0.04603509586079069,0.12198253723677455,0.13678475814398144,0.0911898387626543
0.9217156304253472,0.920119493989323,0.039586869981014794,0.022616616442175608,0.039586869981014794,0.15909150917555062,0.10606100611703374,0.030572407960661813,0.80625,0.7936477866086564,0.096548931294694,0.043414169107987975,0.096548931294694,0.12741181673220509,0.08494121115480337
0.9255178351151315,0.9240351227642769,0.037380196333126725,0.02140640748165416,0.037380196333126725,0.15878014747643232,0.10585343165095489,0.025285611933199625,0.70078125,0.7105180327141728,0.09622655497071686,0.05802617514495254,0.10415458347324402,0.1564462826598748,0.1042975217732499
0.9289947509765625,0.9276084249992378,0.03549679420771301,0.02052940260709953,0.03549679420771301,0.15857872932586078,0.10571915288390717,0.02128909111540251,0.771875,0.7736591634080284,0.11248073959938365,0.07418055760398996,0.11667240845481938,0.18459385449676713,0.12306256966451141
0.9321695963541666,0.930869176859404,0.03395759282824051,0.019676679589715418,0.03395759282824051,0.1583583128136027,0.10557220854240179,0.016446563099998632,0.810546875,0.8020579893288274,0.13131642368930507,0.06994530221416444,0.13131642368930507,0.14977255753954782,0.09984837169303189
0.9351113059303977,0.9338843296797353,0.03230679757022559,0.018800886078818208,0.03230679757022559,0.1580868030445771,0.10539120202971804,0.015424775238092289,0.82109375,0.8104236872673253,0.1662715815258189,0.07222657060838744,0.1662715815258189,0.16275424042414333,0.10850282694942888
0.937821097995924,0.9366618596857322,0.03096581800082121,0.01806796343190653,0.03096581800082121,0.15797444747944908,0.10531629831963274,0.0100396993312277,0.82109375,0.8134870526801362,0.14148986606613723,0.05868064645347548,0.14148986606613723,0.16461182480599956,0.10974121653733303
0.9403101603190104,0.9392108031033023,0.029565303684169764,0.017308299399022935,0.029565303684169764,0.15770922087088476,0.10513948058058982,0.00999039216119735,0.759375,0.7595228798005591,0.10216991130696715,0.06472688389352582,0.12714063310845872,0.18213685203976465,0.12142456802650975
0.94259765625,0.9415539747653862,0.028367933194220374,0.016659920702586112,0.028367933194220374,0.15755508732026285,0.10503672488017522,0.007515892422360187,0.816796875,0.8062120947977212,0.15334242029157286,0.06462505316910254,0.15334242029157286,0.15229867657052126,0.10153245104701418
0.9447091909555289,0.9437134294278403,0.027214949361674456,0.016033301476758115,0.027214949361674456,0.15739406219568647,0.10492937479712432,0.006972411895312706,0.820703125,0.8080579610866176,0.1821540041879025,0.08108881188933977,0.1830034372407254,0.15583830146936942,0.10389220097957959
0.9466620551215278,0.9457112435883698,0.026228302569200723,0.015540511664430675,0.026228302569200723,0.15728339594389434,0.10485559729592958,0.0074462758174225355,0.80546875,0.8003060385175682,0.12475801035123069,0.05923117925501777,0.12475801035123069,0.17005918947666523,0.11337279298444347
