train_acc,train_f1,train_eod,train_dp,train_loss,valid_acc,valid_f1,valid_precision,valid_auc,valid_eod,valid_dp,valid_TPR,valid_TNR,valid_FPR,valid_FNR,valid_MCC
0.9229279891304348,0.9274704479634827,0.055953262099800116,0.02028087110441712,5.83209408669854e-05,0.8687381103360812,0.8698931489629164,0.8804071246819338,0.8689328355807293,0.07993467435343671,0.04739841141936224,0.8596273291925466,0.8782383419689119,0.12176165803108809,0.14037267080745341,0.7377078096063989
0.924113712374582,0.9285936826336941,0.05509244268288005,0.019454376541931828,5.6187480304683764e-05,0.8706404565630945,0.8716981132075472,0.8828025477707007,0.8708492903807165,0.08552126653220771,0.05198620544108051,0.8608695652173913,0.8808290155440415,0.11917098445595854,0.1391304347826087,0.7415434773414439
0.9252635046113307,0.9296826577414157,0.054257708702836416,0.018652927269218966,5.239197834389811e-05,0.87000634115409,0.8714733542319749,0.879746835443038,0.8701485212242139,0.08951041462152176,0.051739188826215365,0.8633540372670807,0.8769430051813472,0.12305699481865284,0.13664596273291926,0.7401362798129
0.9263789746917586,0.9307389171583725,0.05344789215503287,0.017875401855393047,5.707062165247803e-05,0.8693722257450857,0.8710888610763454,0.8776796973518285,0.8694743024490715,0.08791297053206482,0.049321783507923656,0.8645962732919255,0.8743523316062176,0.12564766839378239,0.13540372670807455,0.7387988298238269
0.9274616368286445,0.9317639133651308,0.052661893740988286,0.017120744836091384,4.600764196568533e-05,0.8687381103360812,0.8707058088694566,0.8756281407035176,0.8688000836739291,0.08631552644260798,0.04312238594067763,0.8658385093167702,0.8717616580310881,0.12823834196891193,0.1341614906832298,0.7374720174132118
0.9285129174543163,0.9327590141149764,0.05189867788966962,0.016387961933291173,5.323407891884689e-05,0.87000634115409,0.8716343143393863,0.8787878787878788,0.8701219708428539,0.0807289342638371,0.042563600782778876,0.8645962732919255,0.8756476683937824,0.12435233160621761,0.13540372670807455,0.7400891424586908
0.9295341614906832,0.9337255085230923,0.05115726820553146,0.015676115684856717,9.82810495011306e-05,0.8687381103360812,0.8716676999380037,0.870049504950495,0.8686407813857691,0.08391489817409459,0.04858073366332838,0.8732919254658386,0.8639896373056994,0.13601036269430053,0.1267080745341615,0.7373456351081713
0.930526638089406,0.934664612638035,0.05043674330122827,0.014984321443420434,5.826590842132092e-05,0.8693722257450857,0.871571072319202,0.8748435544430538,0.8693946513049915,0.09030467453192215,0.04826896512029466,0.8683229813664596,0.8704663212435233,0.12953367875647667,0.13167701863354037,0.738693028937479
0.9314915458937199,0.9355774745461463,0.04973623297759999,0.014311743708690705,4.65091057096446e-05,0.8706404565630945,0.8720200752823086,0.8808618504435995,0.8707961896179963,0.0966944508897496,0.0487629983500249,0.8633540372670807,0.8782383419689119,0.12176165803108809,0.13664596273291926,0.7414301427790272
0.9324300178677785,0.93646517905395,0.0490549147176329,0.01365759276121381,4.0921325872540876e-05,0.87000634115409,0.8713119899560577,0.8807106598984772,0.8701750716055741,0.09829189497920643,0.05335079237174317,0.8621118012422361,0.8782383419689119,0.12176165803108809,0.13788819875776398,0.7401881785152968
