train_acc,train_f1,train_eod_max,train_eod_mean,train_eod_strict,train_dp_max,train_dp_mean,train_loss,valid_acc,valid_f1,valid_precision,valid_auc,valid_eod_max,valid_eod_mean,valid_eod_strict,valid_dp_max,valid_dp_mean,valid_TPR,valid_TNR,valid_FPR,valid_FNR,valid_MCC
0.8034653077110757,0.79438126318457,0.07728546422759408,0.04715803960202639,0.07728546422759408,0.156291539179491,0.10419435945299398,0.38458246725504514,0.8073136427566807,0.8043911423619138,0.8054358619362775,0.9343593861746647,0.15863385627721305,0.08056535674461134,0.15863385627721305,0.1835488881496329,0.12236592543308862,0.8038191798482845,0.8904718804611367,0.10952811953886331,0.19618082015171542,0.6839514546027331
0.8041604961656794,0.7951612865973366,0.07690470649720171,0.046951936114235315,0.07690470649720171,0.15630859930803542,0.10420573287202357,0.3835659542389523,0.7914908579465542,0.7907630841827317,0.787899874233696,0.9271781158776986,0.07508853474988934,0.048197729860339565,0.09582127933140469,0.15521434099322623,0.10347622732881749,0.7995880979608678,0.8873611598513277,0.11263884014867237,0.2004119020391321,0.6669131679144178
0.8048776164274775,0.795973689070033,0.07671333853434936,0.04680966387784354,0.07671333853434936,0.15633700261297542,0.10422466840865029,0.3772492025087057,0.8248945147679325,0.8167643702356377,0.8376354909307286,0.9361414004038341,0.1604600095080705,0.07380053308624161,0.1604600095080705,0.15780922865799094,0.1052061524386606,0.8017382963222639,0.8928979828941138,0.10710201710588614,0.19826170367773613,0.7082658324279288
0.8055219943486354,0.7966981605252283,0.0766747995822491,0.046766828865296296,0.0766747995822491,0.15642808662615787,0.10428539108410524,0.3840122019141022,0.8168073136427567,0.8084702792554217,0.8437449585599421,0.9329712646657429,0.1881994280065501,0.09389095187632172,0.1881994280065501,0.19538998424922027,0.13025998949948017,0.7864404202169845,0.8870938830173695,0.1129061169826306,0.21355957978301562,0.6938474087324547
0.8061460169143971,0.7973965497002528,0.076669781545049,0.04677011617674857,0.076669781545049,0.1565200038831261,0.1043466692554174,0.38383502049754187,0.820323488045007,0.813173358747551,0.820181008023441,0.9348366264925759,0.07069929595001478,0.0388769082478995,0.07434405632399882,0.13958601774974558,0.09305734516649705,0.8093315759706149,0.8950442777673459,0.10495572223265415,0.19066842402938514,0.703273459200271
0.8068044840887174,0.7981414486230559,0.07630966652168347,0.04659327569989313,0.07630966652168347,0.15651529859383095,0.1043435323958873,0.374434905002754,0.7781293952180028,0.7792330651876921,0.7636635923901811,0.9349290183103842,0.07221832221832222,0.05132835246130352,0.0716436301296475,0.15172457900005104,0.10114971933336736,0.8127474865648289,0.8884550366441082,0.11154496335589183,0.18725251343517105,0.6626048615727149
0.8074894629061792,0.7989120355811189,0.07599908179978643,0.04643064445373424,0.07599908179978643,0.15652699209126847,0.10435132806084567,0.3704566050863312,0.8294655414908579,0.8229812170733259,0.8495625636322756,0.9342744475014833,0.13533908345218426,0.0852610815744167,0.13533908345218426,0.1797735596117683,0.11984903974117889,0.8041658872902864,0.895274543887837,0.10472545611216312,0.19583411270971363,0.7154147830956282
0.8081525233044037,0.7996529358651316,0.07597865032372297,0.046350643540246504,0.07597865032372297,0.15658053364774907,0.10438702243183273,0.3737362655402379,0.8136427566807314,0.8096624688932925,0.82763454725441,0.9342415347628554,0.13026811249707593,0.08427282381282226,0.1386638808528876,0.201494464917208,0.13432964327813865,0.8010585199010153,0.8926398707981589,0.10736012920184114,0.19894148009898474,0.693812551413029
0.8087586232475336,0.8003424120406536,0.07581908346057753,0.0462379321392965,0.07581908346057753,0.156649913845281,0.10443327589685403,0.37153441765729117,0.8154008438818565,0.8058061571343874,0.8248567924539062,0.9273774459650092,0.10973520778152568,0.05613924150135389,0.10973520778152568,0.1406058274414576,0.09373721829430508,0.7940825602508603,0.8882347915687442,0.11176520843125583,0.20591743974913976,0.6931977942117139
0.8094006802649784,0.8010642911167479,0.075727246166997,0.04612420193212163,0.075727246166997,0.15664971469321928,0.10443314312881286,0.37072597284556125,0.8108298171589311,0.8031435280573511,0.8079074835972285,0.9331792904968195,0.10759966495370477,0.04990385478609179,0.10759966495370477,0.14251257905756098,0.09500838603837398,0.8004698793564294,0.8905261100714092,0.10947388992859074,0.19953012064357054,0.6877123672099942
0.8100341141215873,0.8017813423752944,0.07546240534696069,0.04598985813138482,0.07546240534696069,0.15665597593373165,0.10443731728915444,0.3641248200530601,0.8157524613220816,0.8031726535438101,0.8440874837739866,0.9345651471455231,0.11471562568386418,0.046526337887335435,0.11471562568386418,0.1243538189319712,0.08290254595464745,0.7789405174955348,0.882728708194474,0.11727129180552592,0.22105948250446517,0.6933088877157875
0.8106463766183138,0.80246305313671,0.07527605869553577,0.045857081748341764,0.07527605869553577,0.15667114292694956,0.10444742861796637,0.36739030638449216,0.8136427566807314,0.8110466712913554,0.8150519636084819,0.9343876296272121,0.0626604692341744,0.042187894312747165,0.07836708453873353,0.15101661194134186,0.10067774129422791,0.8105079561476081,0.8954196121319443,0.10458038786805557,0.1894920438523919,0.6961213974128566
0.8112933309648277,0.8031901719627831,0.07515278999249475,0.045763241156788904,0.07515278999249475,0.15669573093656758,0.10446382062437838,0.3599239234294358,0.7876230661040787,0.7865056746997987,0.8145762201727725,0.9249956606788577,0.07768877846196623,0.054717080822038966,0.0812546876674167,0.15292732975945478,0.10195155317296989,0.782255865826715,0.8824330442742895,0.11756695572571048,0.21774413417328498,0.6596707269158206
0.8118451914577306,0.8038164381490477,0.07502294136837939,0.04563053931001704,0.07502294136837939,0.1567553743101751,0.10450358287345007,0.3704876331262211,0.8154008438818565,0.8049891746362641,0.8260555260025599,0.9332046506135855,0.0659452606796006,0.03824878860703692,0.0659452606796006,0.11649330232424399,0.07766220154949598,0.7954177834733396,0.8885167748830424,0.11148322511695762,0.20458221652666042,0.6944904633995463
0.8124577488592192,0.8044979640536886,0.07478985917776892,0.0455605030848519,0.07478985917776892,0.15676263340931051,0.10450842227287367,0.3639601466166019,0.8312236286919831,0.8268624499076789,0.842503744052152,0.9360706216163406,0.0983934379221093,0.07538804545514037,0.10452840724726267,0.17297301049110006,0.11531534032740004,0.815294202080601,0.8999477606251002,0.10005223937489992,0.18470579791939898,0.7199288043893356
